"","Start_Date","Lecture","Responsive","Guide","Labs","Classroom","Computer","Network","See_Hear","Had_Skills","Learned","Learned_Comment","Details"
"73",5458761573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
"74",5458761374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"75",5458761305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"76",5458761230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"77",5458761152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"78",5458761104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"79",5458761031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"80",5458760998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"81",5456245607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"82",5456245563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"83",5456218745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"84",5456215023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,40
"85",5456214182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,40
"86",5456214092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"87",5456213970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"88",5456213354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"89",5456212956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"90",5456212814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"91",5456212563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"92",5456212407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"93",5456201812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"94",5456201144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
"95",5456201097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"96",5456200933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"97",5456200866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"98",5455658111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"99",5455657862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"100",5455657327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"101",5455657171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"102",5455657158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"103",5455656987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"104",5455656893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"105",5455656862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"106",5455656820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"107",5455656793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"108",5455656544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"109",5455573284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"110",5455303077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"111",5455302503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"112",5455301681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"113",5455301421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"114",5455300911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"115",5455300800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"116",5454791609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"117",5454535132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"118",5454367167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"119",5453153775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"120",5453149586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"121",5453142599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"122",5453142598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"123",5453142583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"124",5453142183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"125",5453141893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"126",5453141728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
"127",5453141727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"128",5453141255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"129",5453141127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"130",5453141049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"131",5453131384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"132",5453130706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
"133",5453128396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"134",5453127764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"135",5453126297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"136",5453126225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"137",5453126113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
"138",5453074538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"139",5453035219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"140",5453034759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"141",5453034755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"142",5453034754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"143",5453034643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"144",5453034411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"145",5453034392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"146",5449914862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"147",5449913723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"148",5449913258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"149",5449912907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"150",5449912804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"151",5449912747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"152",5449912658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
"153",5449912603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"154",5449912473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"155",5449912447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"156",5449912341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"157",5449912296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"158",5449912106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"159",5447084407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
